EnsemblID	ArithMean_O	atlasCPM_geoMean	matThirdGenMuts	totalLen	scaleGC	scaleRepTime
ENSG00000121410	1.26980623460143	2.86303462849026	0	8289	1.18107822637746	0.379202532330746
ENSG00000175899	0.0636624103923881	2.18447788450458	0	48529	-1.1890515754624	0.517743104990286
ENSG00000166535	2.16179483684907	1.07878896776848	0	63335	-0.287544983947892	-0.644315080786437
ENSG00000128274	4.18618045270981	4.21410252042662	0	29099	0.75087765119383	-0.145516399011021
ENSG00000094914	5.1530163274754	5.96181023199278	0	17391	0.367970575670661	0.866005078437681
ENSG00000081760	4.6469543556105	2.63762407171527	0	77689	0.598590203188595	1.12878722258084
ENSG00000204518	0.0361070282993482	0	0	22990	0.105878419104134	-0.418571663786728
ENSG00000109576	0.593811834696922	2.86681017461	0	31475	-0.987091542977069	-0.929147843462212
ENSG00000103591	2.58266730509118	4.96674461057082	0	54497	-0.898853464978836	0.396564170392582
ENSG00000115977	0.866338113576162	3.53079415356663	0	216235	-0.584202149243157	1.52916618670141
ENSG00000087884	3.56524001403263	6.1204072187901	0	97216	-0.599002407125004	0.811983992509886
ENSG00000127837	3.36512942870148	6.66449771505931	0	6048	1.26411271192471	0.725266236399443
ENSG00000129673	0.904502854092344	0.316099919546331	0	16735	0.834899972557824	0.636502791728192
ENSG00000131043	4.7621307542719	4.4283933665794	0	34759	0.118796387717322	0.337439744536246
ENSG00000205002	2.29195232948584	1.79069366141758	0	6280	-0.430230039025454	-1.14460653954355
ENSG00000124608	1.03691933707992	3.07115004844659	0	14594	1.00731673396924	2.00660216722476
ENSG00000266967	4.72202789777625	3.17132653876115	0	13937	0.215124279712569	0.642996689946785
ENSG00000157426	2.49911102924451	4.44385873699359	0	49175	-0.960559677423879	0.274257834523077
ENSG00000149313	3.71958163065923	5.70721205668881	0	23193	-1.26950356123251	-0.702145979723942
ENSG00000008311	1.77000796646045	1.18502203443902	0	79681	-1.27318286650786	2.41927181207038
ENSG00000181409	1.13913639500376	0.350078739803721	0	55520	1.92237765976254	0.52188665293937
ENSG00000183044	2.47022584169746	1.06956300729026	0	109730	0.10880244866285	0.744906819928391
