EnsemblID	totMuts	express	scaleGC	scaleRepTime	phasedFrac	denomBP	sex
ENSG00000187634	1	3.13457667981535	2.51937828823304	0.603335814797642	0.32615980341053	19738	father
ENSG00000188976	1	6.55054178954969	1.66783224788879	0.544014525930939	0.28704295762367	15016	father
ENSG00000187961	2	4.99797354614623	2.69356952530798	0.496614741729116	0.298269295666008	4973	father
ENSG00000187583	2	0.426287322539857	2.05415661514408	0.482605792436183	0.316525957367415	9381	father
ENSG00000187642	2	1.71290050608999	2.44732963617868	0.454906532249026	0.316525957367415	5606	father
ENSG00000188290	0	1.97145622045689	3.54145180579237	0.409619892150892	0.322588633455776	1211	father
ENSG00000187608	1	2.00611575777051	1.27569839796545	0.381683410780161	0.322588633455776	13350	father
ENSG00000188157	1	6.45453102549913	2.46179701778765	0.350544173510499	0.28704295762367	35244	father
ENSG00000131591	1	6.03852461083499	1.05050094516382	0.363651078327398	0.28704295762367	34240	father
ENSG00000162571	2	6.19945256762406	1.04856929797513	0.559919235223504	0.28704295762367	23975	father
ENSG00000186891	0	0.106592660331068	2.66681241926134	0.62162332554745	0.347446336047372	3085	father
ENSG00000186827	1	-1.15046109567068	3.07163763696797	0.641788496200952	0.347446336047372	2816	father
ENSG00000078808	0	7.07553489005715	1.89458188054295	0.676368131952519	0.279154425852599	15089	father
ENSG00000160087	1	7.05174544963057	1.24793847327162	0.80842890606427	0.279154425852599	19932	father
ENSG00000162572	1	6.502396473171	2.41319843314984	0.884689230633111	0.28704295762367	9961	father
ENSG00000131584	2	5.45805621340219	2.64182095772264	0.935139602736862	0.291044776119403	16817	father
ENSG00000169972	0	3.47158149028051	2.55802252212235	0.958927861243364	0.32615980341053	3081	father
ENSG00000224051	0	6.75644772697193	2.38575170582061	1.00108279227629	0.279154425852599	4141	father
ENSG00000107404	1	7.33814770614503	2.52690691175576	1.02873079514291	0.279154425852599	14128	father
ENSG00000162576	1	5.8883665475284	2.54134966484547	1.05195517516771	0.291044776119403	8855	father
ENSG00000175756	0	7.71018624050932	2.58928762569556	1.07150898393	0.279154425852599	1478	father
ENSG00000221978	1	7.20664052030449	0.616001359225602	1.08395008020836	0.279154425852599	13613	father
ENSG00000242485	0	4.93753031878562	0.828160904062987	1.08956359302248	0.298269295666008	5384	father
ENSG00000235098	0	3.25786858765175	2.55360330665929	1.09459219330532	0.32615980341053	3347	father
ENSG00000179403	0	5.36884272884303	2.5265206550833	1.09582711469207	0.298269295666008	8010	father
ENSG00000215915	0	1.84474726407818	1.33250601356986	1.09505637179298	0.316525957367415	20465	father
ENSG00000197785	1	4.76737798325218	1.70478463458283	1.07717889082183	0.318547970670247	22430	father
ENSG00000205090	0	0.763381014726672	2.64304636976027	1.07447993335561	0.316525957367415	5756	father
ENSG00000160075	1	6.42510861270741	0.945220343424399	1.07172709414582	0.28704295762367	33109	father
ENSG00000197530	2	6.47109755008036	2.54856372992526	1.06787295222785	0.28704295762367	15093	father
ENSG00000248333	1	6.27080555852388	0.608242034919664	1.07112336076289	0.28704295762367	22354	father
ENSG00000189339	1	5.03214718719558	0.911801349360926	1.07649449143813	0.298269295666008	32127	father
ENSG00000008130	1	6.12809419068913	0.917069189862055	1.12385844260368	0.28704295762367	29180	father
ENSG00000078369	7	7.49445455869066	0.0248770556317419	1.16617621297855	0.279154425852599	105742	father
ENSG00000169885	0	1.18062684449292	2.12283334127099	1.19153614863979	0.316525957367415	2184	father
ENSG00000178821	0	4.51475619779433	2.65929621932377	1.19254387214996	0.318547970670247	1690	father
ENSG00000142609	5	5.19623293202841	1.16943635052917	1.20212769803843	0.298269295666008	81001	father
ENSG00000187730	3	3.11064632680371	2.03670168880769	1.20890285872152	0.32615980341053	11430	father
ENSG00000067606	8	6.05504455576287	1.25771843174966	1.19549932208966	0.28704295762367	132474	father
ENSG00000162585	0	5.49771386866388	1.84615816992231	1.15687453633263	0.291044776119403	27960	father
ENSG00000157933	9	6.14877413578555	1.39749531338168	0.999181687311748	0.28704295762367	80106	father
ENSG00000116151	5	4.68767019341913	1.37542823620162	0.737233382272824	0.318547970670247	70371	father
ENSG00000157916	1	6.68908416949215	0.954328084939619	0.554960071138187	0.279154425852599	13466	father
ENSG00000157911	0	4.78457493880952	1.91008085844373	0.503429483249451	0.318547970670247	9833	father
ENSG00000149527	6	3.3819356218271	2.3193918862011	0.20302513306134	0.32615980341053	78918	father
ENSG00000157881	1	4.68306260093023	1.81927732175856	-0.144306615516773	0.318547970670247	17992	father
ENSG00000197921	0	0.0391025397816736	2.7956086040558	-0.222656936028057	0.347446336047372	1519	father
ENSG00000157873	2	4.46247335767922	2.23410116054583	-0.395068358991066	0.318547970670247	9744	father
ENSG00000142606	1	4.88352840388338	1.06245693264752	-0.641750317381394	0.318547970670247	42057	father
ENSG00000215912	1	5.38214472179619	1.62533662756107	-1.56116537392607	0.291044776119403	85377	father
ENSG00000169717	0	7.23770053773855	1.92778039663937	-2.83746833584323	0.279154425852599	1437	father
ENSG00000142611	31	2.50318059541557	1.40591864674821	-1.99119685908239	0.322588633455776	366782	father
ENSG00000130762	0	3.52213371922547	2.11067377668547	-0.4250136845616	0.32615980341053	25723	father
ENSG00000162591	10	3.89380232594177	2.02155777061541	0.0441334051062251	0.309238980399374	122453	father
ENSG00000158109	0	5.4056601202583	0.711333333950153	0.313561094139443	0.291044776119403	5093	father
ENSG00000116213	0	4.64406041905016	1.02731508258392	0.359092837453444	0.318547970670247	21306	father
ENSG00000078900	8	1.80347954420221	1.65466169341984	0.473023912772503	0.316525957367415	82392	father
ENSG00000162592	3	5.06287108647482	0.855899482180347	0.522097902696682	0.298269295666008	25176	father
ENSG00000235169	0	3.97208340815997	2.36138719762098	0.519447244752058	0.309238980399374	3234	father
ENSG00000130764	2	5.84181577856098	1.04306210301473	0.511123464445553	0.291044776119403	17926	father
ENSG00000116198	1	5.70595678000261	0.183800142016303	0.4477720745031	0.291044776119403	45100	father
ENSG00000169598	0	2.1524044222052	0.64911397526671	0.34339755425384	0.322588633455776	27889	father
ENSG00000198912	1	4.68106731238713	0.233463929822229	0.249344528338152	0.318547970670247	10585	father
ENSG00000196581	10	2.47677893274472	0.751078666070697	-3.58906405880627	0.322588633455776	137702	father
ENSG00000131697	8	5.51892796640462	0.434465418418853	0.486660900685677	0.291044776119403	129348	father
ENSG00000069424	9	4.26266015236271	1.20422412481477	0.929197911867296	0.309238980399374	108849	father
