EnsemblID	cpgMuts	express	scaleGC	scaleRepTime	phasedFrac	avgMeth	cpgDenomBP	sex	mutsAllOthers	DenomAllOthers
ENSG00000187634	0	3.13457667981535	2.5194484003207	0.603288870527137	0.32615980341053	0.325581	2186	father	1	17552
ENSG00000188976	1	6.55054178954969	1.66788712903983	0.543972787041874	0.28704295762367	0.752212	904	father	0	14112
ENSG00000187961	1	4.99797354614623	2.69364275301777	0.496577162121848	0.298269295666008	0.581486	700	father	1	4273
ENSG00000187583	2	0.426287322539857	2.05421840617629	0.482569442099655	0.316525957367415	0.633111	720	father	0	8661
ENSG00000187642	2	1.71290050608999	2.44739845958857	0.454872612493789	0.316525957367415	0.67604	500	father	0	5106
ENSG00000188290	0	1.97145622045689	3.54154019890799	0.409589946251252	0.322588633455776	0.00780645	310	father	0	901
ENSG00000187608	0	2.00611575777051	1.27574626532565	0.381655916277726	0.322588633455776	0.638361	964	father	1	12386
ENSG00000188157	0	6.45453102549913	2.46186609996426	0.350519411443768	0.28704295762367	0.664012	3280	father	1	31964
ENSG00000131591	0	6.03852461083499	1.05054478459368	0.363625166143393	0.28704295762367	0.826418	2228	father	1	32012
ENSG00000162571	1	6.19945256762406	1.04861310285513	0.55987610071273	0.28704295762367	0.813232	1442	father	1	22533
ENSG00000186891	0	0.106592660331068	2.66688516838776	0.621574776566885	0.347446336047372	0.660725	276	father	0	2809
ENSG00000186827	0	-1.15046109567068	3.07171762688577	0.641738177747621	0.347446336047372	0.75016	250	father	1	2566
ENSG00000078808	0	7.07553489005715	1.89464081738695	0.676314779172093	0.279154425852599	0.811884	1518	father	0	13571
ENSG00000160087	1	7.05174544963057	1.2479858441118	0.808363965088178	0.279154425852599	0.745277	1410	father	0	18522
ENSG00000162572	0	6.502396473171	2.41326664608165	0.884617597892802	0.28704295762367	0.77213	864	father	1	9097
ENSG00000131584	1	5.45805621340219	2.64189325984636	0.935063543028838	0.291044776119403	0.520716	1872	father	1	14945
ENSG00000169972	0	3.47158149028051	2.55809332540914	0.958849714140382	0.32615980341053	0.319022	368	father	0	2713
ENSG00000224051	0	6.75644772697193	2.38581942783432	1.00100094612192	0.279154425852599	0.586616	396	father	0	3745
ENSG00000107404	1	7.33814770614503	2.52697715850201	1.02864652290503	0.279154425852599	0.652913	1332	father	0	12796
ENSG00000162576	1	5.8883665475284	2.54142016991792	1.05186886501462	0.291044776119403	0.372494	802	father	0	8053
ENSG00000175756	0	7.71018624050932	2.58935898819675	1.07142095795052	0.279154425852599	0.215372	242	father	0	1236
ENSG00000221978	0	7.20664052030449	0.616037427101909	1.08386096253561	0.279154425852599	0.712635	812	father	1	12801
ENSG00000242485	0	4.93753031878562	0.828200766670792	1.08947398276981	0.298269295666008	0.475879	364	father	0	5020
ENSG00000235098	0	3.25786858765175	2.55367403090303	1.09450214179821	0.32615980341053	0.33	370	father	0	2977
ENSG00000179403	0	5.36884272884303	2.52659089492088	1.09573695482189	0.298269295666008	0.489697	858	father	0	7152
ENSG00000215915	0	1.84474726407818	1.33255489700336	1.09496627955468	0.316525957367415	0.864448	1340	father	0	19125
ENSG00000197785	1	4.76737798325218	1.70484017667225	1.07709036731391	0.318547970670247	0.789792	1920	father	0	20510
ENSG00000205090	0	0.763381014726672	2.64311869380198	1.0743916466784	0.316525957367415	0.58925	720	father	0	5036
ENSG00000160075	0	6.42510861270741	0.94526229978265	1.07163904902739	0.28704295762367	0.751458	2250	father	1	30859
ENSG00000197530	1	6.47109755008036	2.54863436403004	1.06778524530637	0.28704295762367	0.648056	1574	father	1	13519
ENSG00000248333	0	6.27080555852388	0.608277964011018	1.07103536862144	0.28704295762367	0.794057	1464	father	1	20890
ENSG00000189339	1	5.03214718719558	0.911842707979823	1.07640602798555	0.298269295666008	0.763819	2304	father	0	29823
ENSG00000008130	0	6.12809419068913	0.917110642702686	1.12376582301361	0.28704295762367	0.699958	1906	father	1	27274
ENSG00000078369	3	7.49445455869066	0.0249025505309254	1.16607988004812	0.279154425852599	0.77293	4096	father	4	101646
ENSG00000169885	0	1.18062684449292	2.12289636066998	1.19143759040136	0.316525957367415	0.924754	122	father	0	2062
ENSG00000178821	0	4.51475619779433	2.6593688340138	1.19244522548484	0.318547970670247	0.256526	190	father	0	1500
ENSG00000142609	2	5.19623293202841	1.16948231726341	1.20202821040255	0.298269295666008	0.841855	5348	father	3	75653
ENSG00000187730	0	3.11064632680371	2.03676316763732	1.20880277657233	0.32615980341053	0.671002	978	father	3	10452
ENSG00000067606	3	6.05504455576287	1.2577659775163	1.19540041608687	0.28704295762367	0.828367	8890	father	5	123584
ENSG00000162585	0	5.49771386866388	1.84621624064935	1.15677901961465	0.291044776119403	0.577115	2156	father	0	25804
ENSG00000157933	2	6.14877413578555	1.39754535922785	0.999100007977368	0.28704295762367	0.693524	5448	father	7	74658
ENSG00000116151	3	4.68767019341913	1.37547788735127	0.737174688629945	0.318547970670247	0.824311	4458	father	2	65913
ENSG00000157916	1	6.68908416949215	0.954370204200905	0.554917371788906	0.279154425852599	0.642477	888	father	0	12578
ENSG00000157911	0	4.78457493880952	1.91014007250581	0.503391305655698	0.318547970670247	0.490694	864	father	0	8969
ENSG00000149527	5	3.3819356218271	2.31945842128873	0.203013315637079	0.32615980341053	0.731012	5120	father	1	73798
ENSG00000157881	0	4.68306260093023	1.81933491168894	-0.144287954941109	0.318547970670247	0.759987	1514	father	1	16478
ENSG00000197921	0	0.0391025397816736	2.79568365685863	-0.222631400293205	0.347446336047372	0.0702721	294	father	0	1225
ENSG00000157873	2	4.46247335767922	2.23416617010509	-0.395027694333051	0.318547970670247	0.733357	566	father	0	9178
ENSG00000142606	1	4.88352840388338	1.06250098592476	-0.64168800663793	0.318547970670247	0.721508	2042	father	0	40015
ENSG00000215912	0	5.38214472179619	1.62539074862626	-1.56102238546702	0.291044776119403	0.479512	3282	father	1	82095
ENSG00000169717	0	7.23770053773855	1.92783992727921	-2.83721335312585	0.279154425852599	0.820462	130	father	0	1307
ENSG00000142611	12	2.50318059541557	1.40596884325594	-1.99101613580749	0.322588633455776	0.780155	22570	father	19	344212
ENSG00000130762	0	3.52213371922547	2.11073657859585	-0.424970392232392	0.32615980341053	0.761841	1716	father	0	24007
ENSG00000162591	6	3.89380232594177	2.02161897857764	0.0441355302659415	0.309238980399374	0.807493	7324	father	4	115129
ENSG00000158109	0	5.4056601202583	0.711371106954775	0.313539577299487	0.291044776119403	0.441657	362	father	0	4731
ENSG00000116213	0	4.64406041905016	1.02735850730643	0.359067325250337	0.318547970670247	0.600101	1782	father	0	19524
ENSG00000078900	6	1.80347954420221	1.65471633899949	0.472988403235956	0.316525957367415	0.766594	4662	father	2	77730
ENSG00000162592	0	5.06287108647482	0.855939840926359	0.522058086968526	0.298269295666008	0.680209	1244	father	3	23932
ENSG00000235169	0	3.97208340815997	2.36145448384583	0.519407661616381	0.309238980399374	0.349832	238	father	0	2996
ENSG00000130764	1	5.84181577856098	1.04310580939185	0.511084611712947	0.291044776119403	0.716397	1160	father	1	16766
ENSG00000116198	1	5.70595678000261	0.183828479448177	0.447738780789115	0.291044776119403	0.809085	2010	father	0	43090
ENSG00000169598	0	2.1524044222052	0.649150635402428	0.343373419295521	0.322588633455776	0.82	1396	father	0	26493
ENSG00000198912	0	4.68106731238713	0.233493155551351	0.2493286464351	0.318547970670247	0.672097	496	father	1	10089
ENSG00000196581	2	2.47677893274472	0.751117149968924	-3.5887431243454	0.322588633455776	0.749873	5670	father	8	132032
ENSG00000131697	3	5.51892796640462	0.434498239304066	0.486624194517614	0.291044776119403	0.861425	5572	father	5	123776
ENSG00000069424	3	4.26266015236271	1.20427071377067	0.929122373536471	0.309238980399374	0.772858	5396	father	6	103453
ENSG00000116254	1	7.38677835691248	1.3088233310411	1.09654395190617	0.279154425852599	0.736735	3878	father	3	74532
ENSG00000116251	0	6.22868989584741	0.547370721599907	1.23134507763912	0.28704295762367	0.48198	1404	father	1	22933
