EnsemblID	denomBP	all_totMuts	pat_express	mat_express	phasedFracPatBinVal_patbins	phasedFracMatBinVal_matbins	scaleRepTime	scaleGC
ENSG00000121410	8289	0	1.76163151841603	2.86303462849026	0.305914805100841	0.299380432772332	0.379202532330746	1.18107822637746
ENSG00000175899	48529	7	2.60265223029773	2.18447788450458	0.305914805100841	0.321887361853106	0.517743104990286	-1.1890515754624
ENSG00000166535	63335	9	0.569317808069272	1.07878896776848	0.326492840211709	0.326536170212766	-0.644315080786437	-0.287544983947892
ENSG00000128274	29099	2	4.45813399439504	4.21410252042662	0.290404862694019	0.286366969372215	-0.145516399011021	0.75087765119383
ENSG00000094914	17391	2	5.41655134624373	5.96181023199278	0.289783442804188	0.285590223931518	0.866005078437681	0.367970575670661
ENSG00000081760	77689	21	1.97929695850917	2.63762407171527	0.305914805100841	0.321887361853106	1.12878722258084	0.598590203188595
ENSG00000204518	22990	3	0.0149174637770563	0	0.325098259404829	0.326196692776327	-0.418571663786728	0.105878419104134
ENSG00000109576	31475	5	2.44750267881464	2.86681017461	0.305914805100841	0.299380432772332	-0.929147843462212	-0.987091542977069
ENSG00000103591	54497	2	4.46494636916682	4.96674461057082	0.290404862694019	0.285590223931518	0.396564170392582	-0.898853464978836
ENSG00000115977	216235	29	3.94727618784618	3.53079415356663	0.30451600876171	0.295357022322935	1.52916618670141	-0.584202149243157
ENSG00000087884	97216	12	4.48038543726091	6.1204072187901	0.290404862694019	0.281980742778542	0.811983992509886	-0.599002407125004
ENSG00000127837	6048	1	6.49942980021409	6.66449771505931	0.283504685651897	0.281980742778542	0.725266236399443	1.26411271192471
ENSG00000129673	16735	2	0.214895155542727	0.316099919546331	0.328698870646294	0.331574074074074	0.636502791728192	0.834899972557824
ENSG00000131043	34759	3	4.76597887175267	4.4283933665794	0.290404862694019	0.286366969372215	0.337439744536246	0.118796387717322
ENSG00000205002	6280	1	2.72064661444789	1.79069366141758	0.299490433612153	0.319906574261975	-1.14460653954355	-0.430230039025454
ENSG00000124608	14594	2	2.43165469664711	3.07115004844659	0.305914805100841	0.299380432772332	2.00660216722476	1.00731673396924
ENSG00000266967	13937	2	3.7644894628184	3.17132653876115	0.30451600876171	0.299380432772332	0.642996689946785	0.215124279712569
ENSG00000157426	49175	11	4.53682997091003	4.44385873699359	0.290404862694019	0.286366969372215	0.274257834523077	-0.960559677423879
ENSG00000149313	23193	4	6.65751960062649	5.70721205668881	0.283504685651897	0.285590223931518	-0.702145979723942	-1.26950356123251
ENSG00000008311	79681	11	0.147601270895427	1.18502203443902	0.328698870646294	0.319906574261975	2.41927181207038	-1.27318286650786
ENSG00000181409	55520	21	0.371884944212535	0.350078739803721	0.326492840211709	0.331574074074074	0.52188665293937	1.92237765976254
ENSG00000183044	109730	34	1.03719692730591	1.06956300729026	0.323804723502304	0.326536170212766	0.744906819928391	0.10880244866285
ENSG00000165029	146979	16	3.20912904575976	2.87953053606232	0.299490433612153	0.299380432772332	0.853368748812501	-0.400460286167245
ENSG00000154263	97477	12	0.32662571951353	0.530558157260912	0.328698870646294	0.331574074074074	-0.783348664119357	-1.32107609853261
ENSG00000144452	206845	38	0.0939740770243664	0.058005195065659	0.328698870646294	0.326196692776327	-2.05971939980292	-1.19022101085949
ENSG00000179869	475570	73	0.950401075890504	2.11834401759985	0.323804723502304	0.321887361853106	-2.12641959407663	-0.979724603323869
ENSG00000107331	21449	6	0.709155252389566	1.03540831985894	0.326492840211709	0.326536170212766	0.356184410508377	2.61778700007725
ENSG00000167972	64836	19	2.56838652939482	2.79556668456706	0.305914805100841	0.299380432772332	0.186425132602364	0.829359349419467
ENSG00000198691	128213	20	0.103666237539317	0.494260277193892	0.328698870646294	0.331574074074074	0.307978878738288	-0.0099481439647577
ENSG00000154265	82742	14	3.30760257870916	3.55317303654895	0.299490433612153	0.295357022322935	-0.373989171899659	-1.51382451513087
ENSG00000154262	62873	9	0.0937018410207905	0.390280694714308	0.328698870646294	0.331574074074074	-1.36126479632994	-1.31709753879264
ENSG00000064687	24802	3	0.53739168631305	1.02080843404535	0.326492840211709	0.326536170212766	-0.285231940625764	1.76131516712279
ENSG00000141338	87993	17	0.408918346667815	0.110239594479926	0.326492840211709	0.326196692776327	-1.56067885333076	-1.23466705817698
ENSG00000154258	86389	9	0.138603227968578	0.313992200418376	0.328698870646294	0.331574074074074	-1.71728778351658	-1.12655017868957
ENSG00000085563	209719	28	0.357284996788879	0.189499195705842	0.328698870646294	0.331574074074074	-1.12257260789227	-1.20941183495129
ENSG00000135776	42102	11	1.8882123634472	2.14961335623213	0.305914805100841	0.321887361853106	0.574114817322738	-0.368245920549301
ENSG00000073734	115564	16	0	0	0.325098259404829	0.326196692776327	0.898249247876607	-1.20591592028414
ENSG00000005471	78731	4	0.181528360565898	0.570166216354882	0.328698870646294	0.326536170212766	-1.02258671556962	-1.0107836336155
ENSG00000004846	160588	25	0.442868524548592	0.302810041642807	0.326492840211709	0.331574074074074	0.763364869953659	-1.12454500861658
ENSG00000115657	9219	2	0.514843162684976	0.684138955706281	0.326492840211709	0.326536170212766	0.104149967498993	1.01117539495515
ENSG00000197150	19348	3	4.65200338845311	4.59249589254333	0.290404862694019	0.286366969372215	0.0353842520725926	1.34207203003243
ENSG00000150967	60678	12	2.31950878798135	1.482502945989	0.305914805100841	0.319906574261975	0.168832850583962	0.757589534847626
