EnsemblID	denomBP	muts	logexpress	GCperc	meanTime	sex	phasedFrac
ENSG00000121410	8289	0	2.86303462849026	0.557968391844613	0.966385238095238	mother	0.299380432772332
ENSG00000175899	48529	0	2.18447788450458	0.371983762286468	1.06384287392945	mother	0.321887361853106
ENSG00000166535	63335	1	1.07878896776848	0.44272519144233	0.246382390595767	mother	0.326536170212766
ENSG00000128274	29099	0	4.21410252042662	0.52421045396749	0.597266895761741	mother	0.286366969372215
ENSG00000094914	17391	0	5.96181023199278	0.494163647863838	1.30883095165704	mother	0.285590223931518
ENSG00000081760	77689	0	2.63762407171527	0.512260422968503	1.49368745986979	mother	0.321887361853106
ENSG00000204518	22990	0	0	0.473597216180948	0.405183666666667	mother	0.326196692776327
ENSG00000109576	31475	0	2.86681017461	0.387831612390786	0.0460141726389553	mother	0.299380432772332
ENSG00000103591	54497	0	4.96674461057082	0.394755674624291	0.9785984415434	mother	0.285590223931518
ENSG00000115977	216235	4	3.53079415356663	0.419446435590908	1.77533771244116	mother	0.295357022322935
ENSG00000087884	97216	1	6.1204072187901	0.418285055957867	1.27082932355162	mother	0.281980742778542
ENSG00000127837	6048	0	6.66449771505931	0.564484126984127	1.20982692307692	mother	0.281980742778542
ENSG00000129673	16735	0	0.316099919546331	0.530803704810278	1.14738546423136	mother	0.331574074074074
ENSG00000131043	34759	0	4.4283933665794	0.474610892143042	0.937006822183099	mother	0.286366969372215
ENSG00000205002	6280	0	1.79069366141758	0.431528662420382	-0.105552222222222	mother	0.319906574261975
ENSG00000124608	14594	0	3.07115004844659	0.54433328765246	2.11119442958019	mother	0.299380432772332
ENSG00000266967	13937	0	3.17132653876115	0.48216976393772	1.15195365646258	mother	0.299380432772332
ENSG00000157426	49175	1	4.44385873699359	0.389913573970513	0.892560928397851	mother	0.286366969372215
ENSG00000149313	23193	0	5.70721205668881	0.365670676497219	0.205700714604236	mother	0.285590223931518
ENSG00000008311	79681	0	1.18502203443902	0.365381960567764	2.40149067417586	mother	0.319906574261975
ENSG00000181409	55520	0	0.350078739803721	0.616138328530259	1.066757690718	mother	0.331574074074074
ENSG00000183044	109730	9	1.06956300729026	0.473826665451563	1.22364327160494	mother	0.326536170212766
ENSG00000165029	146979	3	2.87953053606232	0.433864701760115	1.29994180974539	mother	0.299380432772332
ENSG00000154263	97477	1	0.530558157260912	0.361623767658012	0.148577941883953	mother	0.331574074074074
ENSG00000144452	206845	5	0.058005195065659	0.371891996422442	-0.749296752581067	mother	0.326196692776327
ENSG00000179869	475570	3	2.11834401759985	0.388409697836281	-0.796217615681392	mother	0.321887361853106
ENSG00000107331	21449	0	1.03540831985894	0.670707259079677	0.950192929292929	mother	0.326536170212766
ENSG00000167972	64836	0	2.79556668456706	0.530368930840891	0.830774209072245	mother	0.299380432772332
ENSG00000198691	128213	1	0.494260277193892	0.464508279191658	0.916282306070741	mother	0.331574074074074
ENSG00000154265	82742	1	3.55317303654895	0.346498755166663	0.436545629270858	mother	0.295357022322935
ENSG00000154262	62873	0	0.390280694714308	0.361935966153993	-0.257962459057697	mother	0.331574074074074
ENSG00000064687	24802	1	1.02080843404535	0.603499717764696	0.49898271724509	mother	0.326536170212766
ENSG00000141338	87993	2	0.110239594479926	0.368404304887889	-0.398242105477003	mother	0.326196692776327
ENSG00000154258	86389	0	0.313992200418376	0.376888261236963	-0.508410093045119	mother	0.331574074074074
ENSG00000085563	209719	0	0.189499195705842	0.370386088051154	-0.0900522510178052	mother	0.331574074074074
ENSG00000135776	42102	0	2.14961335623213	0.436392570424208	1.10349807172734	mother	0.321887361853106
ENSG00000073734	115564	2	0	0.370660413277491	1.33151340823009	mother	0.326196692776327
ENSG00000005471	78731	0	0.570166216354882	0.385972488600424	-0.0197162584960621	mother	0.326536170212766
ENSG00000004846	160588	3	0.302810041642807	0.377045607392831	1.23662775609955	mother	0.331574074074074
ENSG00000115657	9219	0	0.684138955706281	0.54463607766569	0.772896989966555	mother	0.326536170212766
